State,Tag,Value,"Q((0, 1))","Q((1, 0))","Q((-1, 0))","Q((0, -1))"
"(0, 0)",.,-1,77.4512827008958,86.99829600324593,42,92
"(0, 1)",.,-1,87.99999335213133,83.6745712488843,79.1325740744548,48
"(0, 2)",.,-1,82.05700538620819,88.99999999999932,80.58780135386615,51
"(0, 3)",.,-1,88.74724884859477,89.99999999999937,87.99999999999788,64
"(0, 4)",.,-1,90.22583403509284,90.99999999999943,88.9999999999991,30
"(0, 5)",.,-1,90.73115693889864,91.99999999999949,89.99999999999874,55
"(0, 6)",.,-1,92.99999999761751,92.99999999999955,90.99999999999898,70
"(0, 7)",.,-1,93.9999999999996,93.99999999999828,91.99999999999872,4
"(0, 8)",.,-1,94.99999999999966,91.02870821805305,89.17913111839272,93
"(0, 9)",.,-1,95.99999999999972,83.95271442873167,83.1908726088211,18
"(0, 10)",.,-1,45.30312725374516,64.19215995034857,94.76347081346472,98
"(0, 11)",.,-1,55.32082544417281,24,90.43204606416073,27
"(0, 12)",.,-1,85.99603583648738,87.99999999999926,37,85.98862566491569
"(0, 13)",.,-1,84.99581171349254,88.99999999999932,86.98933307283966,86.98459056345554
"(0, 14)",.,-1,83.89166300466849,89.99999999999937,87.98254179463879,87.99999999998404
"(0, 15)",.,-1,88.92713220553387,90.99999999999943,88.98852410914456,88.99999999999932
"(0, 16)",.,-1,89.85546871599418,91.99999999999949,89.97628436136324,89.98420664628527
"(0, 17)",.,-1,90.99999999999943,92.99999999999955,90.95975303027015,90.97456219900984
"(0, 18)",.,-1,91.99690342071973,93.9999999999996,91.90779377024234,91.99999999999949
"(0, 19)",.,-1,90.99999998864834,94.99999999999966,92.99999999346419,92.99999999997414
"(0, 20)",.,-1,93.99999999999933,95.99999999999972,93.9999999999996,93.9999999999992
"(0, 21)",.,-1,96.99999999999977,96.99999999999343,94.99999999999875,94.99999999999248
"(0, 22)",.,-1,91.71096060491729,97.99999999999983,86.69858226584617,81.75302354146186
"(0, 23)",.,-1,98.99999999999989,9,96.3303122223545,80.92085932627141
"(0, 24)",.,-1,84.99799424873804,84.99851959461506,69,86.9999999999992
"(0, 25)",.,-1,-11.217633477827523,79.3992204322104,85.99999997127992,81.49333474371143
"(0, 26)",.,-1,-11.98588750298154,58.68452099627962,84.98511050052858,65.74235999999965
"(0, 27)",.,-1,-11.061208610951681,57.45955935710732,49.73872067473857,89.98730973355639
"(0, 28)",.,-1,-28.096576382051477,54.41412268879156,53.58831113303702,90.97677719096174
"(0, 29)",.,-1,-24.8443909900242,91.99999999999949,86.67237195445591,88.69700706187245
"(0, 30)",.,-1,-20.936007614310668,90.54626145701538,90.56677951779096,92.99999999999955
"(0, 31)",.,-1,-30.37367730703666,78.66744314107657,91.99999999986366,73.6461017199225
"(0, 32)",.,-1,-18.084777369200264,91.8967823999019,89.088396107703,94.99999999999966
"(0, 33)",.,-1,-15.072166823883535,97.99999999999983,93.99999999994499,95.9999999999843
"(0, 34)",.,-1,-15.125904401046146,98.99999999999989,96.99999999998289,96.99999999989845
"(0, 35)",.,-1,99.99999999999994,45,97.99999999999983,97.99999999999983
"(0, 36)",S,-1,78,-15.001073849325033,2,85.99999999999915
"(0, 37)",P,-100,84.99992127163193,64,66,62
"(0, 38)",P,-100,52.86136502553068,44,97,37
"(0, 39)",P,-100,67.08059919367855,15,100,26
"(0, 40)",P,-100,58.4800254334917,82,90,71
"(0, 41)",P,-100,80.04779358589809,61,85,36
"(0, 42)",P,-100,82.55105533194985,7,77,51
"(0, 43)",P,-100,50.73741726577838,51,1,84
"(0, 44)",P,-100,55.84811347659937,66,34,6
"(0, 45)",P,-100,84.98883142935273,95,32,88
"(0, 46)",P,-100,84.97815062456479,27,88,22
"(0, 47)",R,100,0,0,0,0
