State,Tag,Value,"Q((0, 1))","Q((1, 0))","Q((-1, 0))","Q((0, -1))"
"(0, 0)",.,-1,-1.997345225734805,-1.9911148221567345,2,74
"(0, 1)",.,-1,-1.9905713392420474,-1.9818061224696113,-1.9873637049791215,23
"(0, 2)",.,-1,-1.9663849730549583,-1.9635656632221559,-1.981466336548811,18
"(0, 3)",.,-1,-1.935354047663734,-1.925775281224213,-1.9559538712138238,95
"(0, 4)",.,-1,-1.8628063470273684,-1.8506878817050427,-1.9091725586863857,44
"(0, 5)",.,-1,-1.700633947753256,-1.694677161379677,-1.8412960305239272,68
"(0, 6)",.,-1,-1.3964310469678385,-1.3909255808788286,-1.6316631173926135,23
"(0, 7)",.,-1,-0.8072416532779003,-0.7721735410474633,-0.9063550315962322,42
"(0, 8)",.,-1,0.4089428900375791,0.5453281565812305,-0.30966409548991786,68
"(0, 9)",.,-1,2.8131511852698288,3.2739150098572547,0.9703719645211869,33
"(0, 10)",.,-1,9.354658991870853,6.069581793864506,5.140365229720629,2
"(0, 11)",.,-1,11.68435177290487,77,7.651887085777241,47
"(0, 12)",.,-1,-2.0531007261992764,-1.9963034076655604,8,-1.9955271160426686
"(0, 13)",.,-1,-2.006036252942765,-2.010975448961787,-1.9943094048998744,-1.9908443108026794
"(0, 14)",.,-1,-2.5132717155442847,-1.9347338338899642,-1.947757259339189,-1.9455166946357494
"(0, 15)",.,-1,-4.195981668576136,-1.8536109150858193,-1.8806641328596974,-1.8721959539890638
"(0, 16)",.,-1,-2.225951720181679,-1.7746185866866693,-1.7257781267129428,-1.761534820551296
"(0, 17)",.,-1,-2.6325494272949714,-1.4180728762510328,-1.606273662022349,-1.5371532887765065
"(0, 18)",.,-1,-0.8427664325384804,-0.844581484334344,-1.314826337366958,-1.1659217119375815
"(0, 19)",.,-1,0.2761301671473707,0.17154978021066206,-0.14830669805356766,-0.07924622721277108
"(0, 20)",.,-1,1.6485981550251998,2.6022991337225516,0.39357658476603086,0.506149607673203
"(0, 21)",.,-1,4.513337535138522,7.6971608407327645,2.7598929359526414,2.893004843443249
"(0, 22)",.,-1,11.057562760495433,21.167746050028757,5.1756536509872895,7.530938343325029
"(0, 23)",.,-1,47.41944760445295,82,12.59194291528792,11.990937163457232
"(0, 24)",.,-1,-4.255202902952294,-2.4874045543771075,46,-1.9978874557698227
"(0, 25)",.,-1,-62.26437680864934,-2.6741472689903003,-1.9312777276523558,-1.933406348103546
"(0, 26)",.,-1,-40.29182838503554,-3.373052786151925,-1.6665105290180526,-1.6951648432513595
"(0, 27)",.,-1,-46.189548490321144,-1.3946462677516671,-1.4146899050807589,-1.4010480821129412
"(0, 28)",.,-1,-22.41756466092807,-1.538168367967664,-2.8562647149184706,-1.56848836763905
"(0, 29)",.,-1,-32.928812644084594,-2.898260885717921,-1.4753490160571565,-1.4804627346858494
"(0, 30)",.,-1,-44.6809517426252,-0.5935891845251193,-0.053607366629186415,-0.14670276023977213
"(0, 31)",.,-1,-23.492909298307744,2.70249767940027,1.1799950468679394,0.7786869618449093
"(0, 32)",.,-1,-29.818219277600942,7.936639426828965,4.036314186628356,4.1124149307300355
"(0, 33)",.,-1,-61.53937399353339,23.099647016090845,7.057024050342216,5.553953417177113
"(0, 34)",.,-1,-66.89049328338956,48.92171183342879,7.658687832001792,8.640758792057124
"(0, 35)",.,-1,99.99999999999994,39,19.30876558684692,19.036990755412486
"(0, 36)",S,-1,31,-99.75912211755909,31,-2.0030075767464237
"(0, 37)",P,-100,-1.9836365265492997,35,3,99
"(0, 38)",P,-100,8.090729052237757,98,6,23
"(0, 39)",P,-100,22.01114001068881,24,37,15
"(0, 40)",P,-100,30.9066250293403,45,95,29
"(0, 41)",P,-100,20.693704753497038,14,27,39
"(0, 42)",P,-100,4.4801256565210394,23,66,54
"(0, 43)",P,-100,2.458936801366633,71,88,87
"(0, 44)",P,-100,13.345590084060351,11,91,9
"(0, 45)",P,-100,1.8529509219233355,38,51,85
"(0, 46)",P,-100,1.618630437178286,39,81,86
"(0, 47)",R,100,0,0,0,0
