State,Tag,Value,"Q((0, 1))","Q((1, 0))","Q((-1, 0))","Q((0, -1))","Q((0, 0))","Q((1, 1))","Q((1, -1))","Q((-1, 1))","Q((-1, -1))"
"(0, 0)",S,0,0.5881539095172164,6.399866845907283,0,0,4.892799986002517,0.48403091511643437,0,0,0
"(0, 1)",.,0,0,0.0,0,0,0,-10,0,0,0
"(0, 2)",.,0,-10,0,0,0,0,14.256000000000002,0,0,0
"(0, 3)",.,0,12.96,0,0,0,0,0,0,-10,0
"(0, 4)",.,0,0,0,0,0,0,0,0,0,0
"(0, 5)",P,-10,0,0,0,0,0,0,0,0,0
"(0, 6)",.,0,0,0,0,0,-10,36.0,0,0,0
"(0, 7)",.,0,39.996,0,-10,0,0,0,0,36.0,0
"(0, 8)",.,0,0,0,0,0,0,0,0,0,0
"(0, 9)",.,0,0,0,0.0,0,0,39.6,-10,0,0
"(0, 10)",.,0,0,36.0,0,-10,0,100,0,0,5.759999988414142
"(0, 11)",.,0,100,0,0,0,36.0,0,0,0,-10
"(0, 12)",.,0,0,0,0,0,0,0,0,0,0
"(0, 13)",.,0,0,39.6,0,0,0,0,0,0,0
"(0, 14)",.,0,0,100,0,0,0,0,0,0,0
"(0, 15)",R,100,0,0,0,0,0,0,0,0,0
"(1, 0)",.,0,0,0,0,0,0,15.601599996111977,0,0,0
"(1, 1)",.,0,1.4703998703968164,0,0.6975978784376947,0,1.734399999999999,15.99998953603673,0,0,0
"(1, 2)",.,0,0,0,0,0,0,0.0,0,0,0
"(1, 3)",.,0,0,0,0,0,0,0,0,0,0
"(1, 4)",.,0,0,0,0,0,-3.6,5.833590288031054,0,0,0
"(1, 5)",.,0,5.8239980291392,-2.000144000000187,0,0.0,0,-10,0.0,0.0,0.6367887303845166
"(1, 6)",P,-10,0,0,0,0,0,0,0,0,0
"(1, 7)",.,0,39.96,0,0,0,0,0,0,-10,0
"(1, 8)",.,0,0.0,0,0,0,0,0,0,0,0
"(1, 9)",.,0,0,-10,0,0,0,0,0,0,0
"(1, 10)",.,0,0,0,0,0,-10,100,0,0,0
"(1, 11)",.,0,100,0,-10,0,0,0,0,0,0
"(1, 12)",.,0,0,0,0,0,0,0,0,0,0
"(1, 13)",.,0,0,0,0,0,0,0,-10,0,0
"(1, 14)",.,0,0,100,0,-10,0,0,0,0,0
"(1, 15)",R,100,0,0,0,0,0,0,0,0,0
"(2, 0)",.,0,0,0,0,0,0.0,15.99687519962256,0,0,0
"(2, 1)",.,0,0,0,0,0,0,13.408000000000001,0,0,0
"(2, 2)",.,0,0,0,0,0,0,0.0,0,0,0
"(2, 3)",.,0,0,0,0,0,0,0,0,0,0
"(2, 4)",.,0,0,0,0,0,0,-10,0,0,0
"(2, 5)",.,0,-10,1.5999999999993335,0.0,0.0,0,39.96399999964,0,0,0
"(2, 6)",.,0,3.999995999999996,0.0,3.039379200000001,0.0,0.0,39.99999964,0.0,-10,0
"(2, 7)",.,0,36.0,0,0,0,0,0,0,0,0
"(2, 8)",.,0,0,-10,0,0,0,12.96,0,0,0
"(2, 9)",.,0,15.99999997104,0,0,14.270399987039989,-10,4.0,14.399870400000001,0,0.0
"(2, 10)",P,-10,0,0,0,0,0,0,0,0,0
"(2, 11)",.,0,100,0,0,0,0,0,0,36.0,0
"(2, 12)",.,0,0,0.0,0,0,0,0,-10,0,0
"(2, 13)",.,0,0,0,0,-10,0,0,0,0,0
"(2, 14)",.,0,0,100,0,0,0,0,0,0,-10
"(2, 15)",R,100,0,0,0,0,0,0,0,0,0
"(3, 0)",.,0,0,0.0,0,0,0,-10,0,0,0
"(3, 1)",.,0,-10,0.0,0,0,0,0,0,0,0
"(3, 2)",.,0,0,0,0,0,0,12.96,0,-10,0
"(3, 3)",.,0,14.385600000000002,0,0,0,0,0,0,0,0
"(3, 4)",.,0,0,-10,0,0,0,12.96,0,0,0
"(3, 5)",.,0,0,0.0,0,0,-10,39.9999639999964,0,0,0
"(3, 6)",.,0,0,0,-10,0.0,0,39.999999999999964,0.0,0,0
"(3, 7)",.,0,0,0,0,0,0.0,0,0,0,0.0
"(3, 8)",.,0,0,0,0,0,0,0,-10,0,0
"(3, 9)",P,-10,0,0,0,0,0,0,0,0,0
"(3, 10)",.,0,0,0,0,0,36.0,100,0.0,0.0,-10
"(3, 11)",.,0,100,0,0,14.256000000000002,36.0,0,0,39.6,0
"(3, 12)",.,0,0,0,0,0,0,0,0,0,0
"(3, 13)",.,0,0,39.9999999996,0,0,0,0,0,0,0
"(3, 14)",.,0,0,100,12.96,0,39.996,0,36.0,0,0
"(3, 15)",R,100,0,0,0,0,0,0,0,0,0
